 Casos notificados (suspeitos/confirmados) de Dengue por local de residência - Minas Gerais
Notificações por Reg Saúde (CIR)/Municíp Res e Semana epidemiológica notific.
Período:2011
"Reg Saúde (CIR)/Municíp Res";"Em Branco";"Semana 01";"Semana 02";"Semana 03";"Semana 04";"Semana 05";"Semana 06";"Semana 07";"Semana 08";"Semana 09";"Semana 10";"Semana 11";"Semana 12";"Semana 13";"Semana 14";"Semana 15";"Semana 16";"Semana 17";"Semana 18";"Semana 19";"Semana 20";"Semana 21";"Semana 22";"Semana 23";"Semana 24";"Semana 25";"Semana 26";"Semana 27";"Semana 28";"Semana 29";"Semana 30";"Semana 31";"Semana 32";"Semana 33";"Semana 34";"Semana 35";"Semana 36";"Semana 37";"Semana 38";"Semana 39";"Semana 40";"Semana 41";"Semana 42";"Semana 43";"Semana 44";"Semana 45";"Semana 46";"Semana 47";"Semana 48";"Semana 49";"Semana 50";"Semana 51";"Semana 52";"Total"
".....  BARBACENA";-;-;-;-;1;-;2;-;-;1;-;2;2;3;2;1;1;1;1;1;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;21
".....  SENHORA DOS REMEDIOS";-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;1;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
".....  SANTA RITA DE IBITIPOCA";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
".....  CARANDAI";-;1;1;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;5
".....  ALFREDO VASCONCELOS";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"31015 São João Del Rei";-;-;-;3;2;1;2;5;2;1;-;-;4;6;8;8;2;4;4;3;3;2;1;1;1;-;1;2;1;-;-;-;-;-;1;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;2;1;2;75
".....  SAO JOAO DEL REI";-;-;-;3;2;-;2;4;1;1;-;-;3;4;5;4;-;-;3;3;3;2;1;1;1;-;1;2;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;1;1;1;51
".....  SAO TIAGO";-;-;-;-;-;1;-;-;1;-;-;-;1;-;-;2;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8
".....  BARROSO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;3
".....  LAGOA DOURADA";-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;4
".....  RITAPOLIS";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
".....  RESENDE COSTA";-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
".....  PRADOS";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
".....  NAZARENO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;2;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
".....  SAO VICENTE DE MINAS";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"31016 Belo Horizonte/Nova Lima/Santa Luzia";-;218;269;320;350;338;338;315;314;268;218;351;490;555;457;430;338;377;404;334;274;261;142;151;104;86;95;100;64;79;66;79;75;61;75;60;56;105;85;71;120;74;130;73;125;142;98;141;153;143;143;160;184;10459
".....  RAPOSOS";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;2
".....  RIBEIRAO DAS NEVES";-;3;19;13;13;20;21;8;15;17;12;16;24;23;29;30;11;15;26;21;24;15;9;9;5;1;6;5;2;1;2;2;2;3;2;1;-;-;4;2;4;1;1;3;6;2;4;5;4;7;6;13;6;493
".....  MOEDA";-;-;-;-;-;-;-;-;-;-;-;1;2;2;1;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;9
".....  SABARA";-;5;2;6;3;5;9;5;18;12;4;19;14;23;7;14;7;7;13;7;6;7;4;4;2;2;4;2;1;1;1;3;1;2;4;-;2;2;1;2;4;2;5;2;2;6;2;2;4;4;9;2;2;277
".....  BELO HORIZONTE";-;194;226;276;311;279;285;279;242;212;177;282;408;463;375;348;280;308;318;246;210;204;120;125;88;78;74;88;58;68;55;72;71;53;64;56;53;88;76;63;101;68;119;57;103;127;82;120;128;119;121;135;166;8719
".....  TAQUARACU DE MINAS";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
".....  BELO VALE";-;1;-;-;-;-;-;-;-;-;1;-;1;1;1;-;-;-;-;1;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;9
".....  NOVA LIMA";-;3;8;10;11;13;2;4;10;4;2;3;7;5;8;3;4;6;5;6;2;3;3;2;-;-;3;-;1;3;-;1;-;2;1;1;1;2;1;-;2;1;-;4;5;1;2;3;5;1;1;2;4;171
".....  CAETE";-;1;3;1;-;7;-;1;1;3;-;4;7;2;5;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;1;-;-;2;3;46
".....  NOVA UNIAO";-;-;-;1;1;-;-;3;1;-;-;1;-;-;-;-;-;1;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;11
".....  RIO ACIMA";-;-;-;-;-;-;1;-;-;2;2;1;-;-;1;-;-;-;1;-;1;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;1;-;-;2;-;-;-;-;-;-;-;-;-;15
".....  JABOTICATUBAS";-;-;1;-;1;-;2;-;1;2;2;1;-;1;2;1;2;1;2;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;1;-;1;-;-;-;-;-;-;-;1;-;2;-;-;27
".....  SANTA LUZIA";-;11;10;13;10;13;18;15;26;16;18;23;27;35;28;33;32;38;38;49;31;30;6;11;8;5;7;5;2;5;6;1;1;1;3;2;-;11;1;4;6;2;5;5;8;6;8;11;10;12;3;4;3;676
"31017 Betim";-;50;64;57;80;74;49;72;69;70;62;120;120;128;107;99;66;95;104;98;87;58;42;42;25;19;18;16;7;14;16;19;16;13;27;14;16;22;13;10;19;18;33;32;27;28;22;30;25;36;29;38;40;2455
".....  JUATUBA";-;-;-;-;2;-;2;2;1;2;3;2;5;6;2;2;4;2;5;1;1;1;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;1;-;-;1;1;-;-;-;-;-;-;1;-;-;-;-;49
".....  MATEUS LEME";-;4;2;3;6;6;1;-;-;3;2;2;2;3;1;2;2;2;2;1;2;-;-;2;2;-;-;-;-;-;1;-;2;1;-;-;1;-;-;-;-;-;1;2;2;2;1;-;-;1;-;-;-;64
".....  FLORESTAL";-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
".....  CRUCILANDIA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
".....  MARIO CAMPOS";-;-;1;2;1;1;-;2;-;1;-;1;1;1;1;2;-;1;1;2;4;-;-;1;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;2;-;-;-;1;30
".....  BETIM";-;34;51;49;60;58;44;62;59;55;45;103;97;102;96;83;56;84;95;92;76;55;37;39;22;17;17;16;6;13;13;17;10;11;22;14;14;16;12;10;17;14;30;28;23;24;18;27;18;30;25;33;29;2078
".....  SAO JOAQUIM DE BICAS";-;1;3;2;1;3;2;2;2;2;3;4;3;5;-;2;2;-;-;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;1;-;-;-;2;-;1;2;48
".....  ESMERALDAS";-;3;2;-;4;4;-;1;2;2;-;2;6;6;2;2;1;4;1;-;-;1;5;-;1;1;-;-;1;-;-;1;2;-;2;-;1;5;1;-;1;1;1;1;-;1;3;2;1;-;3;4;4;85
".....  IGARAPE";-;6;3;1;5;1;-;1;4;3;9;4;4;3;2;5;-;-;-;-;2;1;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;2;1;-;-;-;-;-;1;3;-;-;3;66
".....  BRUMADINHO";-;2;2;-;1;1;-;1;1;2;-;2;2;2;1;1;1;2;-;-;1;-;-;-;-;-;-;-;-;-;1;1;1;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;1;-;1;32
"31018 Contagem";-;52;74;99;105;89;90;101;119;71;68;131;147;140;135;140;93;124;101;92;82;63;61;29;32;22;21;26;25;30;14;24;21;22;24;8;14;23;21;17;9;19;20;29;32;41;35;44;36;35;44;23;31;2948
".....  CONTAGEM";-;45;66;80;88;80;82;93;107;61;60;117;138;135;123;130;85;119;99;86;76;57;59;28;32;20;20;26;24;28;12;23;19;20;22;7;13;22;19;17;6;14;19;26;30;40;35;42;32;33;41;20;28;2704
".....  IBIRITE";-;1;2;6;7;4;4;4;9;5;4;9;3;3;3;3;4;3;1;5;5;5;2;1;-;1;1;-;1;2;2;-;2;2;1;1;-;1;1;-;2;2;-;1;2;1;-;1;1;2;-;1;3;124
".....  SARZEDO";-;6;6;13;10;5;4;4;3;5;4;5;6;2;9;7;4;2;1;1;1;1;-;-;-;1;-;-;-;-;-;1;-;-;1;-;1;-;1;-;1;3;1;2;-;-;-;1;3;-;3;2;-;120
"31019 Curvelo";-;42;55;113;157;164;209;175;202;148;98;160;134;90;90;88;41;75;85;65;49;40;17;12;29;20;11;9;4;4;13;3;1;1;6;7;3;2;7;2;2;5;2;8;6;7;2;11;8;3;12;8;8;2513
".....  TRES MARIAS";-;6;-;8;4;4;2;7;-;-;2;2;1;5;-;3;1;3;-;1;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;1;-;-;-;-;-;1;3;1;-;-;2;-;60
".....  SANTO HIPOLITO";-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
".....  BUENOPOLIS";-;1;1;3;3;3;2;2;4;-;3;-;6;13;8;3;1;1;5;1;-;-;1;1;1;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;2;1;-;-;-;70
".....  AUGUSTO DE LIMA";-;-;-;-;2;-;1;4;3;4;4;8;15;16;18;20;8;25;23;10;23;17;15;7;3;-;1;2;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;3;-;-;1;-;-;235
".....  CORINTO";-;3;-;-;4;1;5;7;5;4;2;10;9;11;13;36;18;26;41;31;12;16;-;-;20;16;10;6;2;4;12;1;-;-;3;4;1;-;3;-;1;1;-;2;6;5;-;3;4;-;1;-;2;361
".....  FELIXLANDIA";-;1;-;3;7;1;8;4;10;9;5;10;8;11;7;7;5;8;8;9;5;-;1;3;4;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;2;-;2;142
".....  CURVELO";-;30;52;92;132;149;177;143;175;127;76;127;86;26;39;17;6;5;5;5;6;4;-;-;-;-;-;-;1;-;1;-;-;1;2;-;-;-;2;1;-;4;1;3;-;2;1;2;1;2;6;3;3;1515
".....  PRESIDENTE JUSCELINO";-;1;1;3;1;3;6;4;4;2;3;2;3;5;5;2;1;3;3;7;3;1;-;1;1;-;-;-;-;-;-;-;-;-;1;2;-;2;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;71
".....  MONJOLOS";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
".....  INIMUTABA";-;-;-;-;2;2;6;4;1;1;1;1;4;3;-;-;1;1;-;-;-;1;-;-;-;1;-;-;-;-;-;1;-;-;-;-;1;-;1;-;-;-;-;1;-;-;-;-;-;-;1;2;1;37
".....  MORRO DA GARCA";-;-;1;4;2;-;2;-;-;1;1;-;2;-;-;-;-;3;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;19
"31020 Guanhães";-;-;2;1;3;2;1;1;1;7;1;20;42;47;22;16;9;13;12;11;1;2;3;-;3;2;-;-;1;-;-;2;2;-;-;1;-;-;2;3;1;-;4;5;3;4;1;2;1;5;3;9;5;276
".....  VIRGINOPOLIS";-;-;-;-;-;-;-;-;-;4;1;19;40;44;21;15;9;11;12;11;1;1;1;-;3;2;-;-;-;-;-;2;1;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;200
".....  SENHORA DO PORTO";-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
".....  GUANHAES";-;-;2;1;3;2;-;1;1;2;-;1;2;3;1;1;-;2;-;-;-;1;2;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;1;3;1;-;4;4;3;4;1;2;1;5;3;9;4;72
".....  DOM JOAQUIM";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
".....  CARMESIA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"31021 Itabira";-;5;7;14;7;13;14;6;3;16;5;11;19;17;20;19;17;14;11;18;29;13;10;7;5;2;4;3;1;3;1;2;1;2;2;3;3;3;3;3;2;2;7;2;1;4;3;3;1;4;7;4;2;378
".....  SANTA MARIA DE ITABIRA";-;1;1;1;-;-;-;2;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;8
".....  SANTA BARBARA";-;1;1;4;2;-;5;1;-;4;1;2;3;-;3;10;3;3;3;4;10;3;1;2;1;-;1;-;-;-;-;2;-;-;1;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;73
".....  FERROS";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
".....  SAO GONCALO DO RIO ABAIXO";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;2
".....  ITABIRA";-;3;4;6;4;11;8;2;3;10;4;9;16;17;17;7;14;10;8;14;18;9;9;5;4;2;3;3;1;3;1;-;1;2;1;3;3;2;3;3;1;2;6;2;1;4;2;3;1;4;7;3;2;281
".....  BOM JESUS DO AMPARO";-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
".....  PASSABEM";-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
".....  CATAS ALTAS";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
".....  BARAO DE COCAIS";-;-;-;3;-;1;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7
"31022 Ouro Preto";-;2;3;4;5;2;4;1;5;2;3;1;6;8;6;4;2;1;1;2;-;4;1;2;3;1;-;1;-;1;1;-;1;-;-;-;-;2;-;-;-;-;-;-;-;-;-;2;-;-;1;-;-;82
".....  OURO PRETO";-;-;-;2;2;-;-;-;2;-;-;-;1;-;1;-;-;-;-;-;-;3;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;13
".....  MARIANA";-;2;-;2;2;2;2;-;3;2;3;1;4;8;5;2;1;-;-;2;-;1;-;1;1;-;-;1;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;1;-;-;50
".....  ITABIRITO";-;-;3;-;1;-;2;1;-;-;-;-;1;-;-;2;1;1;1;-;-;-;1;1;1;-;-;-;-;1;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;19
"31023 João Monlevade";-;3;3;6;8;9;4;8;3;8;4;4;8;14;17;14;9;4;5;8;4;3;4;5;1;-;3;2;1;2;-;1;4;2;-;1;3;2;-;-;-;1;-;-;2;1;4;1;4;5;-;4;1;200
".....  RIO PIRACICABA";-;1;1;-;1;3;1;-;-;-;-;-;-;2;1;-;1;-;-;1;1;-;3;-;-;-;3;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;21
".....  BELA VISTA DE MINAS";-;-;-;-;-;2;-;-;-;1;-;-;-;2;-;1;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8
".....  JOAO MONLEVADE";-;2;2;6;5;4;3;7;3;4;4;4;8;7;16;13;7;4;4;5;3;2;1;4;1;-;-;-;1;1;-;1;4;1;-;1;3;1;-;-;-;-;-;-;2;1;4;1;4;5;-;3;-;152
".....  SAO DOMINGOS DO PRATA";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;1;1;8
".....  NOVA ERA";-;-;-;-;-;-;-;1;-;3;-;-;-;3;-;-;1;-;1;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;11
"31024 Sete Lagoas";-;31;34;24;37;31;36;44;31;34;24;51;43;70;43;58;39;41;48;52;36;26;18;20;12;3;11;9;10;4;8;9;6;10;6;9;8;9;9;8;7;8;9;12;14;23;14;11;17;12;27;26;22;1204
".....  MARAVILHAS";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1
".....  CAETANOPOLIS";-;1;2;-;1;1;1;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9
".....  JEQUITIBA";-;-;-;-;1;-;-;-;1;-;1;1;-;-;-;-;-;-;-;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7
".....  PEQUI";-;-;-;-;-;-;1;1;1;1;1;1;-;1;-;1;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;11
".....  POMPEU";-;21;9;2;14;9;11;26;9;1;8;18;2;17;4;4;1;3;2;-;2;2;-;-;-;1;-;-;-;-;-;-;-;-;1;-;1;-;1;1;1;-;-;-;-;-;-;3;2;1;5;8;3;193
".....  BIQUINHAS";-;-;-;2;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;1;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7
".....  FUNILANDIA";-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;1;-;-;6
".....  SETE LAGOAS";-;3;8;6;8;14;16;9;14;22;12;15;21;23;24;39;20;21;28;26;20;10;11;9;6;2;9;3;4;4;5;4;2;6;3;4;6;5;5;5;5;6;7;9;11;12;11;8;12;7;19;12;16;587
".....  MORADA NOVA DE MINAS";-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;1;-;-;-;-;1;-;-;-;-;-;2;-;-;1;-;-;-;-;-;1;1;-;-;-;-;1;1;1;1;1;16
".....  CORDISBURGO";-;-;-;-;-;-;-;1;-;1;-;-;1;-;1;-;-;1;-;1;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;9
".....  INHAUMA";-;-;-;1;-;1;3;2;-;1;2;3;1;1;1;-;4;1;1;1;2;1;1;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;1;-;1;-;-;1;-;33
".....  SANTANA DE PIRAPAMA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;1;1;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6
".....  BALDIM";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4;1;-;-;1;2;-;1;-;-;-;1;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;1;-;13
".....  PARAOPEBA";-;5;5;9;3;4;3;2;4;3;-;5;11;9;4;2;7;5;2;6;3;4;2;2;1;-;-;2;2;-;2;4;3;-;-;1;-;4;1;1;-;-;-;1;1;2;-;-;1;3;-;2;-;131
".....  CAPIM BRANCO";-;1;6;-;3;-;-;1;1;2;-;3;2;3;2;6;-;5;7;9;1;2;-;-;-;-;1;-;-;-;-;-;1;-;-;1;-;-;1;1;-;-;-;-;-;2;-;-;-;-;1;-;-;62
".....  CACHOEIRA DA PRATA";-;-;2;1;4;-;-;1;-;1;-;-;-;1;2;1;3;3;5;2;2;3;2;2;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;3;-;-;-;-;-;-;1;42
".....  ABAETE";-;-;-;1;-;-;-;1;-;-;-;1;1;5;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10
".....  ARACAI";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;2
".....  PAPAGAIOS";-;-;2;1;2;-;1;-;1;1;-;2;-;1;1;1;2;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;18
".....  PRUDENTE DE MORAIS";-;-;-;-;-;-;-;-;-;1;-;2;3;6;1;4;2;-;1;-;3;2;1;3;1;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;32
".....  FORTUNA DE MINAS";-;-;-;-;1;-;-;-;-;-;-;-;-;1;1;-;-;1;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;9
"31025 Vespasiano/Lagoa Santa";-;15;16;26;21;19;27;17;20;25;13;16;26;29;22;34;14;29;27;26;20;27;23;11;10;2;4;9;4;6;4;3;4;4;2;3;4;7;8;10;3;5;11;8;7;10;4;13;13;11;22;22;22;738
".....  LAGOA SANTA";-;1;5;-;3;-;2;1;4;5;-;2;6;7;2;3;1;3;3;3;2;1;1;-;-;1;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;2;1;-;1;6;3;72
".....  SAO JOSE DA LAPA";-;-;-;-;1;-;-;-;-;-;-;-;-;-;2;6;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;13
".....  CONFINS";-;-;1;-;2;-;1;-;-;-;-;-;-;2;-;-;1;-;-;1;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10
".....  SANTANA DO RIACHO";-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
".....  PEDRO LEOPOLDO";-;1;-;2;3;1;3;1;2;2;2;1;2;5;3;4;2;7;11;12;9;16;13;3;1;-;1;3;-;1;-;1;1;1;-;-;1;-;-;1;-;1;1;1;1;3;1;-;-;1;3;1;4;133
".....  VESPASIANO";-;13;10;22;12;16;14;12;12;17;9;10;12;12;12;17;10;8;8;9;8;7;7;6;6;1;1;3;2;5;4;1;1;3;2;2;3;6;8;8;3;2;9;6;5;7;3;9;12;10;18;15;14;432
