 Casos notificados (suspeitos/confirmados) de Dengue por local de residência - Minas Gerais
Notificações por Reg Saúde (CIR)/Municíp Res e Semana epidemiológica notific.
Período:2008
"Reg Saúde (CIR)/Municíp Res";"Em Branco";"Semana 01";"Semana 02";"Semana 03";"Semana 04";"Semana 05";"Semana 06";"Semana 07";"Semana 08";"Semana 09";"Semana 10";"Semana 11";"Semana 12";"Semana 13";"Semana 14";"Semana 15";"Semana 16";"Semana 17";"Semana 18";"Semana 19";"Semana 20";"Semana 21";"Semana 22";"Semana 23";"Semana 24";"Semana 25";"Semana 26";"Semana 27";"Semana 28";"Semana 29";"Semana 30";"Semana 31";"Semana 32";"Semana 33";"Semana 34";"Semana 35";"Semana 36";"Semana 37";"Semana 38";"Semana 39";"Semana 40";"Semana 41";"Semana 42";"Semana 43";"Semana 44";"Semana 45";"Semana 46";"Semana 47";"Semana 48";"Semana 49";"Semana 50";"Semana 51";"Semana 52";"Semana 53";"Total"
".....  BELO HORIZONTE";1;42;84;133;106;70;60;152;153;205;319;345;364;1010;1656;2021;2289;2171;1867;1969;1458;1040;1003;711;591;393;301;183;132;68;50;41;44;28;27;12;25;23;20;21;26;25;39;24;40;39;41;56;58;79;77;64;80;55;21891
".....  BELO VALE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;1;2;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;7
".....  NOVA LIMA";-;1;1;2;-;1;-;-;2;1;-;2;1;6;8;4;8;15;10;3;5;3;8;3;4;4;-;-;2;-;-;-;-;2;-;-;-;1;-;-;2;1;-;-;-;-;1;-;1;-;-;-;-;-;102
".....  CAETE";-;-;1;1;1;1;2;1;1;-;1;1;1;3;4;2;5;-;1;3;6;-;-;2;2;-;1;-;2;1;-;-;-;-;1;-;1;-;-;-;-;-;-;1;1;-;-;-;-;1;1;-;-;-;49
".....  NOVA UNIAO";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
".....  RIO ACIMA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
".....  JABOTICATUBAS";-;1;1;-;-;-;-;-;1;-;1;-;-;-;2;5;2;1;-;-;1;1;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;18
".....  SANTA LUZIA";-;1;2;1;3;-;1;3;2;5;4;3;8;23;37;39;48;29;18;34;19;18;9;12;8;12;5;3;2;1;1;-;-;2;3;-;-;-;-;-;-;1;2;-;-;3;-;3;2;-;-;1;-;-;368
"31017 Betim";-;6;18;17;11;9;9;19;14;11;16;17;19;66;160;168;211;208;167;146;113;77;93;60;66;47;49;35;23;10;16;7;8;12;17;17;9;9;8;5;7;8;14;8;5;7;9;9;7;10;12;13;9;9;2100
".....  RIO MANSO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
".....  JUATUBA";-;-;1;1;1;1;-;1;-;-;-;-;-;-;5;3;3;2;4;6;-;1;3;1;6;3;-;1;1;-;-;-;-;-;-;2;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;1;-;49
".....  MATEUS LEME";-;-;-;-;-;-;-;-;-;2;-;1;2;4;7;7;4;7;12;13;13;9;7;2;3;4;-;-;2;3;2;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;1;1;-;-;-;-;1;109
".....  FLORESTAL";-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;1;2;1;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8
".....  CRUCILANDIA";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
".....  MARIO CAMPOS";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
".....  BETIM";-;4;7;5;6;6;5;12;7;9;14;11;13;52;125;129;170;163;135;118;90;60;80;54;50;36;48;33;16;7;10;5;8;11;13;14;7;9;7;4;7;8;12;6;4;6;7;5;4;4;11;13;7;8;1655
".....  BONFIM";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;4
".....  SAO JOAQUIM DE BICAS";-;-;1;-;1;-;-;-;1;-;-;2;-;-;1;5;5;4;3;1;3;-;-;-;-;-;-;-;-;-;2;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;30
".....  ESMERALDAS";-;1;5;5;1;1;3;6;3;-;1;-;3;9;12;2;19;11;5;4;4;5;1;1;2;-;1;1;2;-;1;1;-;-;1;-;1;-;1;-;-;-;-;1;-;1;1;3;2;6;-;-;-;-;127
".....  IGARAPE";-;-;2;4;1;-;-;-;1;-;-;1;-;-;4;18;5;15;3;2;2;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;61
".....  BRUMADINHO";-;1;2;2;1;1;-;-;1;-;1;1;1;1;5;4;4;2;2;1;-;-;1;2;4;4;-;-;1;-;1;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;1;-;47
"31018 Contagem";-;12;19;12;23;15;10;24;29;32;30;26;30;126;229;268;344;268;257;205;172;118;149;91;83;60;54;32;24;8;9;4;5;7;5;4;2;8;5;2;8;3;5;8;4;8;9;11;13;19;11;5;12;5;2922
".....  CONTAGEM";-;10;16;8;22;14;10;22;27;28;30;22;28;116;202;242;305;231;237;193;162;111;138;88;82;57;52;32;22;8;7;2;3;4;3;4;2;8;4;2;6;3;3;6;3;6;8;10;11;16;7;4;11;5;2653
".....  IBIRITE";-;1;3;2;1;1;-;2;2;3;-;3;1;5;19;16;30;35;13;7;10;7;10;1;1;3;1;-;2;-;2;1;2;2;1;-;-;-;1;-;1;-;1;1;-;1;1;1;1;2;3;-;-;-;200
".....  SARZEDO";-;1;-;2;-;-;-;-;-;1;-;1;1;5;8;10;9;2;7;5;-;-;1;2;-;-;1;-;-;-;-;1;-;1;1;-;-;-;-;-;1;-;1;1;1;1;-;-;1;1;1;1;1;-;69
"31019 Curvelo";-;1;3;2;7;4;9;12;15;24;36;50;73;130;195;259;245;204;145;143;87;47;34;26;18;10;20;7;-;2;1;-;3;-;2;1;2;1;2;-;-;1;-;2;2;2;1;3;7;132;49;54;59;36;2168
".....  TRES MARIAS";-;-;-;-;-;-;-;-;-;-;-;-;-;1;7;2;2;3;3;5;3;2;1;1;-;-;1;-;-;-;-;-;-;-;1;-;2;-;-;-;-;-;-;-;1;-;1;-;2;1;-;-;-;-;39
".....  SANTO HIPOLITO";-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
".....  BUENOPOLIS";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
".....  AUGUSTO DE LIMA";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;2;-;-;-;2;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6
".....  CORINTO";-;-;2;-;1;-;5;-;4;5;18;30;38;62;104;161;133;132;74;91;52;18;19;18;8;4;13;3;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;998
".....  FELIXLANDIA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;4;2;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10
".....  CURVELO";-;1;1;2;5;4;4;12;10;19;18;18;33;65;81;92;100;62;59;43;26;22;14;7;9;6;5;3;-;2;-;-;2;-;1;1;-;-;2;-;-;-;-;1;-;-;-;2;2;1;5;5;4;1;750
".....  PRESIDENTE JUSCELINO";-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;2;-;-;1;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;10
".....  MONJOLOS";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
".....  INIMUTABA";-;-;-;-;-;-;-;-;1;-;-;1;-;-;2;3;2;2;6;3;1;4;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;2;-;-;2;130;44;49;54;35;345
".....  MORRO DA GARCA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"31020 Guanhães";-;-;-;1;1;-;-;1;-;-;1;-;-;1;-;1;1;1;-;1;-;-;2;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;13
".....  DORES DE GUANHAES";-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
".....  GUANHAES";-;-;-;-;1;-;-;1;-;-;-;-;-;1;-;1;1;1;-;1;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9
".....  SABINOPOLIS";-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"31021 Itabira";-;1;5;5;2;2;1;2;7;2;6;3;3;12;15;25;39;30;24;15;3;2;13;9;6;1;2;2;1;-;-;1;-;-;-;-;-;-;2;-;-;-;-;-;1;-;1;1;2;-;2;-;-;1;249
".....  SANTA MARIA DE ITABIRA";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;3;2;-;-;2;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9
".....  SANTA BARBARA";-;-;-;1;-;-;-;-;-;-;-;1;-;-;2;1;1;1;2;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;12
".....  FERROS";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
".....  SAO GONCALO DO RIO ABAIXO";-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;1;3;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8
".....  ITABIRA";-;1;2;4;2;2;1;2;6;2;6;2;2;10;12;18;28;29;21;12;3;1;10;6;5;1;1;2;-;-;-;1;-;-;-;-;-;-;2;-;-;-;-;-;1;-;-;1;2;-;1;-;-;1;200
".....  SAO SEBASTIAO DO RIO PRETO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
".....  MORRO DO PILAR";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
".....  BOM JESUS DO AMPARO";-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
".....  CATAS ALTAS";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
".....  BARAO DE COCAIS";-;-;-;-;-;-;-;-;1;-;-;-;-;2;1;1;4;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;12
"31022 Ouro Preto";-;-;2;-;-;1;1;2;2;3;2;3;2;7;10;12;14;16;7;5;7;2;4;2;2;-;1;-;-;-;-;1;-;-;1;-;-;-;-;-;1;-;-;-;-;-;2;-;-;-;-;-;-;-;112
".....  OURO PRETO";-;-;2;-;-;-;-;1;-;1;-;-;-;2;3;1;5;2;2;2;1;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;24
".....  MARIANA";-;-;-;-;-;1;-;-;2;1;2;3;2;4;4;9;9;13;4;3;5;1;2;1;2;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;71
".....  ITABIRITO";-;-;-;-;-;-;1;1;-;1;-;-;-;1;3;2;-;1;1;-;1;-;1;1;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;17
"31023 João Monlevade";6;-;5;2;2;1;1;1;2;4;1;3;3;3;12;37;24;10;16;33;21;10;11;6;7;4;4;3;3;1;-;-;-;-;-;-;1;-;1;-;1;-;-;-;2;-;-;-;-;2;-;1;-;-;244
".....  RIO PIRACICABA";-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
".....  BELA VISTA DE MINAS";1;-;1;-;-;-;-;1;1;-;-;-;1;-;-;1;1;-;-;2;-;1;2;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;13
".....  JOAO MONLEVADE";-;-;3;1;1;-;1;-;1;4;-;-;2;3;5;10;8;2;3;16;6;1;4;3;1;1;2;2;-;1;-;-;-;-;-;-;1;-;1;-;1;-;-;-;2;-;-;-;-;-;-;1;-;-;87
".....  SAO DOMINGOS DO PRATA";-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;2;1;-;-;4;4;-;-;-;3;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;19
".....  NOVA ERA";5;-;-;-;1;-;-;-;-;-;1;3;-;-;6;24;14;8;13;11;11;8;5;3;2;3;1;1;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;123
"31024 Sete Lagoas";-;3;4;8;10;7;11;17;28;48;124;143;153;399;476;499;320;244;276;342;222;143;128;119;88;83;45;28;16;9;13;9;7;5;7;10;4;9;4;-;3;1;1;3;-;4;4;6;8;7;15;9;2;3;4127
".....  PAINEIRAS";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
".....  MARAVILHAS";-;-;-;-;-;-;-;-;-;-;-;-;-;3;3;1;1;1;5;3;-;1;2;2;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;24
".....  CAETANOPOLIS";-;-;-;1;-;5;-;7;10;7;27;14;23;34;45;27;26;17;3;4;1;-;-;-;2;2;2;-;-;-;-;1;-;1;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;261
".....  JEQUITIBA";-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;1;1;1;1;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9
".....  PEQUI";-;-;1;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6
".....  POMPEU";-;-;-;2;3;-;3;1;2;-;-;4;3;9;10;15;11;20;10;10;12;3;6;2;-;3;2;3;1;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;1;1;1;1;1;-;1;143
".....  BIQUINHAS";-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
".....  FUNILANDIA";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;1;1;3;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;10
".....  CEDRO DO ABAETE";-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
".....  SETE LAGOAS";-;1;2;2;4;2;-;3;5;7;16;24;37;123;157;205;135;112;143;225;142;103;93;81;56;53;28;18;12;6;7;3;6;-;1;5;2;5;2;-;-;1;1;1;-;-;4;2;3;1;4;7;1;1;1852
".....  MORADA NOVA DE MINAS";-;-;-;1;2;-;-;-;-;1;-;-;-;-;1;2;3;3;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;14
".....  CORDISBURGO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;5
".....  INHAUMA";-;-;-;-;-;-;-;-;-;-;2;-;-;1;2;1;9;2;4;4;1;3;4;3;2;3;3;1;-;1;5;3;-;-;2;3;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;61
".....  SANTANA DE PIRAPAMA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
".....  BALDIM";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;2;1;7;11;8;9;2;4;3;4;2;-;1;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;58
".....  PARAOPEBA";-;-;-;-;1;-;1;2;3;7;10;6;15;108;89;101;61;42;38;46;22;11;5;8;2;4;-;1;-;-;1;2;1;2;3;1;-;-;2;-;3;-;-;-;-;4;-;3;3;3;9;1;1;-;622
".....  CAPIM BRANCO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
".....  CACHOEIRA DA PRATA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;9;2;1;1;-;2;4;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;21
".....  QUARTEL GERAL";-;-;-;-;-;-;-;-;-;-;1;2;1;-;1;4;4;9;7;2;1;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;34
".....  ABAETE";-;-;-;-;-;-;4;4;6;25;67;91;74;116;139;116;51;10;13;4;5;2;2;5;12;8;5;1;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;764
".....  PAPAGAIOS";-;-;1;-;-;-;1;-;1;-;-;-;-;-;1;2;4;5;-;1;-;-;2;-;5;1;3;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;29
".....  PRUDENTE DE MORAIS";-;1;-;1;-;-;-;-;-;-;-;1;-;3;10;15;9;8;29;18;22;8;11;13;6;4;-;2;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;163
".....  FORTUNA DE MINAS";-;1;-;-;-;-;-;-;-;-;-;-;-;-;7;4;-;10;10;6;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;40
"31025 Vespasiano/Lagoa Santa";-;2;4;6;7;10;5;7;5;14;7;19;15;96;106;140;110;106;69;68;54;37;28;25;12;4;7;6;1;4;2;2;2;3;1;1;1;1;3;-;-;-;-;2;4;-;2;2;2;4;8;4;-;1;1019
".....  LAGOA SANTA";-;-;1;1;2;4;1;-;2;4;1;7;5;11;31;31;38;44;13;18;14;10;15;10;4;-;3;1;-;1;-;1;-;-;1;-;-;1;-;-;-;-;-;-;1;-;1;1;-;-;-;1;-;-;279
".....  SAO JOSE DA LAPA";-;-;1;-;-;-;-;-;-;2;-;1;-;2;7;13;2;2;2;-;1;2;1;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;2;-;-;1;42
".....  CONFINS";-;-;-;-;-;-;-;-;-;-;-;-;-;6;9;16;1;1;2;7;-;4;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;48
".....  SANTANA DO RIACHO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
".....  PEDRO LEOPOLDO";-;-;1;1;2;1;2;2;-;2;1;-;1;2;4;6;13;4;-;3;2;3;1;4;1;2;1;-;-;-;-;-;2;1;-;-;-;-;1;-;-;-;-;-;1;-;1;-;-;1;4;-;-;-;70
".....  VESPASIANO";-;1;-;3;3;3;1;1;3;1;3;9;9;50;36;44;43;38;37;35;32;15;6;8;5;2;3;4;-;2;1;1;-;1;-;1;1;-;2;-;-;-;-;2;1;-;-;1;-;1;1;3;-;-;413
".....  MATOZINHOS";-;1;1;1;-;2;1;4;-;5;2;2;-;25;19;30;12;17;15;5;5;3;3;3;1;-;-;-;1;1;1;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;2;1;1;-;-;-;166
"31026 Diamantina/Itamarandiba";-;-;-;-;-;-;-;-;-;-;-;-;1;6;-;2;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;11
".....  GOUVEIA";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
".....  SENADOR MODESTINO GONCALVES";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
".....  ITAMARANDIBA";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
".....  CARBONITA";-;-;-;-;-;-;-;-;-;-;-;-;1;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
".....  DATAS";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
".....  DIAMANTINA";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"31027 Turmalina/Minas Novas/Capelinha";-;-;-;-;-;1;1;1;1;4;-;-;-;2;2;6;9;17;2;3;3;-;2;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;55
".....  CHAPADA DO NORTE";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
".....  CAPELINHA";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;6;7;17;2;3;3;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;40
".....  MINAS NOVAS";-;-;-;-;-;1;1;-;1;4;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9
".....  TURMALINA";-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;1;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"31028 Bom Despacho";-;30;60;73;72;53;45;88;91;99;113;101;83;106;145;121;82;69;58;60;34;10;16;44;19;18;3;5;2;3;-;-;2;3;1;3;1;2;-;-;1;-;-;3;-;-;3;1;-;-;3;-;-;1;1727
".....  BOM DESPACHO";-;9;21;21;21;14;14;34;47;57;75;69;64;71;87;68;51;44;32;33;19;9;10;26;10;15;2;4;-;3;-;-;2;3;-;1;-;1;-;-;1;-;-;3;-;-;2;-;-;-;1;-;-;1;945
".....  MOEMA";-;-;-;-;-;-;-;2;4;-;3;2;1;4;9;13;5;6;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;55
